ID,address,city,ABBRV,state,lon,lat,name,postalCode(3)
4196,664 Crescent St,Brockton,MA,Massachusetts,-70.992588,42.081025,McDonald's,02302
4152,1835 Washington St,Hanover,MA,Massachusetts,-70.845478,42.147511,Burger King,02339
4184,479 Foundry St,North Easton,MA,Massachusetts,-71.1193,42.0233,Burger King,02356
4244,116 Colony Place Rd,Plymouth,MA,Massachusetts,-70.714096,41.952805,D'Angelo Grilled Sandwiches,02360
4151,137 Main St,Kingston,MA,Massachusetts,-70.7158,41.9877,Burger King,02364
4187,178 Summer St,Kingston,MA,Massachusetts,-70.732372,42.010554,McDonald's,02364
4265,14 Condlin Dr,Randolph,MA,Massachusetts,-71.046023,42.166172,Wendy's,02368
4135,707 W Center St,West Bridgewater,MA,Massachusetts,-71.05128,42.01248,Wendy's,02379
4210,800 N Main St,West Bridgewater,MA,Massachusetts,-71.00979,42.04215,McDonald's,02379
4147,1030 Main Street,Waltham,MA,Massachusetts,-71.25283,42.3756,Five Guys,02451
4226,789 Main St,Waltham,MA,Massachusetts,-71.2421,42.3767,McDonald's,02451
4177,880 Walnut St,Newton Center,MA,Massachusetts,-71.2071,42.3316,Domino's Pizza,02459
4256,241 Needham St,Newton Upper Falls,MA,Massachusetts,-71.214806,42.30977,Fresh City,02464
4145,111 Teaticket Hwy,East Falmouth,MA,Massachusetts,-70.59704,41.56274,Burger King,02536
4238,10 Backus Ln,Nantucket,MA,Massachusetts,-70.097404,41.268734,Siam To Go,02554
4189,155 Enterprise Rd,Hyannis,MA,Massachusetts,-70.30102,41.67018,Chick-fil-A,02601
4200,314 Barnstable Rd,Hyannis,MA,Massachusetts,-70.28549,41.661922,KFC,02601
4243,554 Iyannough Rd,Hyannis,MA,Massachusetts,-70.288796,41.665811,Wendy's,02601
4203,15 Canal Rd,Orleans,MA,Massachusetts,-69.984941,41.796998,Wendy's,02653
4240,531 Pleasant St,Attleboro,MA,Massachusetts,-71.27,41.9521,McDonald's,02703
4202,7 Fairhaven Commons Way,Fairhaven,MA,Massachusetts,-70.88552,41.644307,Wendy's,02719
4218,300 Plymouth Ave,Fall River,MA,Massachusetts,-71.1507,41.6955,McDonalds,02721
4251,16 S William Canning Blvd,Fall River,MA,Massachusetts,-71.162109,41.67739,D'angelo Grilled Sandwiches,02721
4263,883 Gar Hwy Route 6,Somerset,MA,Massachusetts,-71.17156744,41.73139643,Burger King,02726
4231,109 Rockdale Ave,New Bedford,MA,Massachusetts,-70.9355,41.6146,Domino's Pizza,02740
4198,1383 Cove Rd,New Bedford,MA,Massachusetts,-70.92949,41.61469,Burger King,02744
4182,85 Coggeshall St,New Bedford,MA,Massachusetts,-70.920204,41.6568,Taco Bell,02746
4154,6 Taunton St,Plainville,MA,Massachusetts,-71.30556,42.009583,Burger King,02762
4138,600 South Street,Raynham,MA,Massachusetts,-71.0472,41.9058,Taco Bell,02767
4155,181 James Reynolds Road,Swansea,MA,Massachusetts,-71.2642,41.7694,McDonald's,02777
4258,181 James Reynolds Rd,Swansea,MA,Massachusetts,-71.26494,41.769363,McDonald's,02777
7714,2311 New London Tpke,Coventry,RI,Rhode Island,-71.541553,41.664134,Wendy's,02816
7715,288 E Main Rd,Middletown,RI,Rhode Island,-71.29141425,41.51988109,McDonald's,02842
7698,7041 Post Rd,North Kingstown,RI,Rhode Island,-71.4557,41.6066,Burger King,02852
7703,11 Benefit St,Pawtucket,RI,Rhode Island,-71.3713932,41.8918314,Greek Oven Pizza and Wings,02861
7717,723 Broad St,Central Falls,RI,Rhode Island,-71.387,41.8897,KFC,02863
7697,178 Front St,Lincoln,RI,Rhode Island,-71.40855,41.904474,SUBWAY,02865
7720,767 Airport Rd,Warwick,RI,Rhode Island,-71.4348,41.7329,KFC,02886
7699,19 Post Rd,Westerly,RI,Rhode Island,-71.804727,41.356069,Wendy's,02891
7708,88 W Warwick Ave,West Warwick,RI,Rhode Island,-71.52362,41.69619,Subway,02893
7707,194 Main St,Woonsocket,RI,Rhode Island,-71.5129,42.0036,Domino's Pizza,02895
7711,293 Social St,Woonsocket,RI,Rhode Island,-71.508367,42.007901,Burger King,02895
7705,731 Eddy St,Providence,RI,Rhode Island,-71.407649,41.80778,Wendy's,02903
7700,805 N Main St,Providence,RI,Rhode Island,-71.4075,41.8419,KFC,02904
7701,306b Charles St,Providence,RI,Rhode Island,-71.4381,41.860462,Subway,02904
7702,458 Smithfield Ave,Providence,RI,Rhode Island,-71.41146,41.85846,Burger King,02904
7713,60 Hartford Ave,Providence,RI,Rhode Island,-71.4455,41.8168,Burger King,02909
7716,550 Hartford Ave,Providence,RI,Rhode Island,-71.462685,41.81918,Domino's Pizza,02909
7710,721 Taunton Ave,East Providence,RI,Rhode Island,-71.35276184,41.82171017,McDonald's,02914
7719,411 N Broadway,Rumford,RI,Rhode Island,-71.36228,41.83112,SUBWAY,02916
7706,970 Douglas Pike,Smithfield,RI,Rhode Island,-71.51865,41.91538,B Z Breakfast Burgers Beyond,02917
7709,1377 Atwood Ave,Johnston,RI,Rhode Island,-71.4952,41.8146,McDonald's,02919
7704,1177 Pontiac Ave,Cranston,RI,Rhode Island,-71.4515,41.7524,Burger King,02920
7712,272 Garfield Ave,Cranston,RI,Rhode Island,-71.4442,41.7941,Royal Buffet,02920
5838,158 Rockingham Rd,Derry,NH,New Hampshire,-71.29244,42.867756,Pizza Express,03038
5839,55 Crystal Ave,Derry,NH,New Hampshire,-71.32398,42.89188,Papa Gino's,03038
5811,56 Calef Highway,Epping,NH,New Hampshire,-71.0746,43.028,McDonald's,03042
5833,115 Calef Hwy,Epping,NH,New Hampshire,-71.0728,43.0319,Wendy's,03042
5840,35 Fresh River Rd,Epping,NH,New Hampshire,-71.07012,43.0288,SUBWAY,03042
5830,2 Continental Blvd,Merrimack,NH,New Hampshire,-71.49751,42.83923,Burger King,03054
5809,310 Daniel Webster Hwy Ste 144,Nashua,NH,New Hampshire,-71.44067,42.70296,Chick-fil-A,03060
